repo,sha
huggingface/accelerate,a9a3c63f6fad0c5790a6e079226aa2d9effd4e1e
MetOffice/forest,1d056c5daf9270212471f2c592e53e7593c54611
Asqatasun/Contrast-Finder,22c6707c94353fac0d531e237f66fdf8429ec4ff
ReactionMechanismGenerator/AutoTST,6b4f6da93e1302e16531ec97b2b40e3ad35d9bcb
jfnavarro/st_pipeline,e23c76b97313d3e6124174136c88263fb80b9cc7
linked-art/linked.art,ec9f2898c4658f1a69e5f9b55a7d74e8e2353d5f
CategoricalData/hydra,0ca7c30efe146743b65b9f61de3d7bb6d4927e97
platformio/platform-atmelsam,fae4b083e731e3601c7b22c12f51238cdb126e75
abw333/dominoes,60a5490d2d4c7318127f6f3433a57858689af02d
tellor-io/telliot-feeds,d6d32062ecf4ae7488f21b9fcf15f44e72e35405
fakereplace/fakereplace,b5f82807b886856c4244efb1913f0e555e4f591a
Contargo/iris,ed561f5ddb2aa89a828468a1f30041f22b0dca8e
openml-labs/gama,87fde368e845167c9fc93eddde2fc464fd3a1dff
CyclopsMC/EvilCraft,f19dd948fb1d6756dca3dc3c694b24d748f158fc
sktime/mlaut,5e3ccc94a6bdbd0cd108ed23f4de56203ab80188
DbMaintain/dbmaintain,b05a83e5ec85626cae233c1fd228d30a6486d26e
jadolg/rocketchat_API,1b1caed289fd566b85b29568e18cba58cfca0ff7
jenkinsci/winstone,27a165d6801b63604dbaf5d4cde0d375dc548121
manifold-systems/manifold,e16a472bbf81c05524d81eff24f5f9716bda84a9
django-hijack/django-hijack,0b1471a6df946c588f4a87581d1b3f607ed5cbc1
camel-tooling/camel-language-server,a8f1d7b0de4891defea48d8b42d5780682da035c
hashsploit/clank,07415dfab48aa500beb326927db16279047a0312
veraPDF/veraPDF-library,a762c34b00f2686b118bdd3c9e7216ee8481cf36
MetOffice/forest,9db1e7fec7c69427949dda3cef906b3176c5b37d
DbMaintain/dbmaintain,a7ec5172a3d35d0ab7a055e9eb472c049f466812
open-telemetry/opentelemetry-python-contrib,1bc244074729b9dc8d5952deb8cb1c093a2b91a9
soarsmu/attack-pretrain-models-of-code,ff2d573d1d7bfcd661f31e1f05492febb943b800
Hack23/sonar-cloudformation-plugin,cd3e53ffe7cb3a6466b3bf7d6b356e556bfabdd2
failsafe-lib/failsafe,2d6f585247fe2d2d6c1f62eb345e2d5b7bf81597
actinia-org/actinia-core,18759fad8d0c2a7b486a74bf2ec39c75218d6863
huggingface/accelerate,26eb62c81a340b8a4179811e304d59fb69f59485
aerleon/aerleon,41e9f10366fc27557a70e028f656c696f635e50f
Contargo/iris,13e45b43cd27d654be85f555c13b241e065c8d4b
jenkinsci/promoted-builds-plugin,d4a0ac72fc282bf7466c95a93c15f60f2e7927f5
apache/maven-release,ac65bef2b3097a941a1f0b021f9feb81a50ff373
SomMeri/less4j,53170f529a8ee1b452aa99f0e611e837da870007
SomMeri/less4j,1416e5cbff7021f5c979e9f3043a78632cf554de
SomMeri/less4j,50ee1c0e1849aacfba253ba4152156e9f3c4fdd4
ladybug-tools/honeybee-radiance,8437bb12480a716910c4cff93e175b4ff5561808
hasgeek/hasgeek.tv,fbff07876d5fda25d4acb0bb49a4d2c0ba5d605b
mj-will/nessai,444e6435dd713204ad0d2ac39390e0f0c40a8735
ladybug-tools/honeybee-radiance,32060924fe99dd27491cc6fdcf9782835e991c7f
cristal-ise/kernel,56e221a176dd9c9330bb286b41aba10494353662
artipie/asto,f6740e7bacfd4804b2d7a5fbfd4393605ece8036
uc-cdis/gen3sdk-python,fdef5b504d445f87d439108dd90c67644806c4ff
huggingface/accelerate,9c5ac0dd8c67810ebf6ce1b0d0fdd38fd282f128
actinia-org/actinia-core,ded9fadfeabfff8d084d9b3b6b76db91d6d7b1ed
huggingface/accelerate,2708c1ae31f5c32a0715780c2244c8f24ba1cfc3
fortwoone/Oracle-Project,5860b7f5e83b5e19b6285cd54618e52aab470fac
Kuifje02/vrpy,bd6b882db0fe99f6a78570d94312fe6277293061
googleapis/synthtool,35f9c02c0ab38fdfe617c58199adbebd43cd8eba
veraPDF/veraPDF-library,86f4fb4ed2ee86d58137a162e69a867d25783327
veraPDF/veraPDF-library,fe3212e8fd35e2460ec2eeac4f437dc80414c3be
Bahmni/OpenElis,aa3fd122cbfb59aacb177d2952e0789da9db4498
jfnavarro/st_pipeline,77171c827bb4585e65d653281a38823cb8da7956
SMAT-Lab/Scalpel,a068771309181dd3911b82e6089fddbd79b5c0f0
openelections/openelections-data-ca,2485cb417f06bb230686c6514ef4c9237c656706
google/nsscache,6946b6c1029cfdc767287fdd335bed8cfbaa0741
goldsborough/cytogan,57a29501e7494ae5fdcf9edd853e6fd2fe0a6d98
thegeeklab/ansible-doctor,e68ffee83cfd25e5ab962dd56c1bd2692b462952
